width,n,logloss_withW,logloss_noW,brier_withW,brier_noW,auc_withW,auc_noW
1.0,2363,0.5191103159873748,0.5499629536049165,0.17905874848672848,0.19059044223764243,0.7259001011655533,0.7259001011655533
1.5,2412,0.40910854756292453,0.4060054436769508,0.1346753225928842,0.13325040716898184,0.823576430239306,0.823576430239306
2.0,2426,0.21804234942855172,0.2368024789088557,0.06131894862849874,0.06717316969473235,0.9322070418705819,0.9322070418705819
3.0,2399,0.16859510092136376,0.20389171009931975,0.04506861034631589,0.05469894349587988,0.9555379328575204,0.9555379328575204
